,date,value
273,20200603,870.625
274,20200604,865.0
275,20200605,879.0
276,20200606,834.0
277,20200607,835.0
278,20200608,771.1111111111111
279,20200609,876.3636363636364
280,20200610,883.0769230769231
281,20200611,896.6666666666666
282,20200612,885.0
283,20200613,887.5
284,20200614,892.0
285,20200615,881.6666666666666
286,20200616,879.2142857142857
287,20200617,879.5454545454545
288,20200618,872.8888888888889
289,20200619,879.8571428571429
290,20200620,874.6666666666666
291,20200621,874.0
292,20200622,865.9
293,20200623,864.8235294117648
294,20200624,865.0
295,20200625,880.0
296,20200626,870.25
297,20200627,879.1875
298,20200628,862.0
299,20200629,858.0
300,20200630,847.7142857142857
301,20200701,852.4444444444445
302,20200702,852.0
303,20200703,853.6470588235294
304,20200704,850.1578947368421
305,20200705,851.75
306,20200706,855.875
307,20200707,852.35
308,20200708,865.0
309,20200709,875.5454545454545
310,20200710,878.974358974359
311,20200711,878.9714285714285
312,20200712,893.551724137931
313,20200713,896.48
314,20200714,886.6666666666666
315,20200715,889.2307692307693
316,20200716,886.1538461538462
317,20200717,894.2857142857143
318,20200718,887.25
319,20200719,889.9677419354839
320,20200720,877.2777777777778
321,20200721,891.1764705882352
322,20200722,890.7692307692307
323,20200723,890.0
324,20200724,880.7142857142857
325,20200725,892.8571428571429
326,20200726,883.8
327,20200727,870.0
328,20200728,877.6363636363636
329,20200729,793.6666666666666
330,20200730,873.1428571428571
331,20200731,870.5333333333333
332,20200801,860.88
333,20200802,856.0869565217391
334,20200803,842.5
335,20200804,846.5714285714286
336,20200805,876.6666666666666
337,20200806,846.25
338,20200807,843.6
339,20200808,846.5
340,20200809,842.1333333333333
341,20200810,858.1818181818181
342,20200811,861.25
343,20200812,858.5
344,20200813,857.4782608695652
345,20200814,858.8421052631579
346,20200815,866.3333333333334
347,20200816,862.25
348,20200817,858.9473684210526
349,20200818,848.4285714285714
350,20200819,849.1034482758621
351,20200820,856.7647058823529
352,20200821,861.7058823529412
353,20200822,864.6666666666666
354,20200823,851.8571428571429
355,20200824,843.6
356,20200825,849.3
357,20200826,862.1578947368421
358,20200827,865.6153846153846
359,20200828,863.625
360,20200829,882.0
361,20200830,877.0
362,20200831,858.8888888888889
363,20200901,855.0
364,20200902,851.8333333333334
365,20200903,848.25
366,20200904,843.1
367,20200905,830.5
368,20200906,842.8
369,20200907,834.4444444444445
370,20200908,788.6666666666666
371,20200909,753.6060606060606
372,20200910,769.6938775510204
373,20200911,789.5833333333334
374,20200912,810.7169811320755
375,20200913,795.92
376,20200914,779.4545454545455
377,20200915,783.421052631579
378,20200916,801.9047619047619
379,20200917,822.52
380,20200918,852.0370370370371
381,20200919,822.6086956521739
382,20200920,825.6111111111111
383,20200921,819.7
384,20200922,800.0
385,20200923,798.4117647058823
386,20200924,833.2352941176471
387,20200925,845.952380952381
388,20200926,846.7941176470588
389,20200927,847.4864864864865
390,20200928,838.5
391,20200929,848.4
392,20200930,843.741935483871
393,20201001,842.3684210526316
394,20201002,840.4375
395,20201003,837.3333333333334
396,20201004,792.5
397,20201005,764.55
398,20201006,797.7777777777778
399,20201007,805.2142857142857
400,20201008,800.875
401,20201009,825.4074074074074
402,20201010,820.7333333333333
403,20201011,801.0666666666667
404,20201012,787.8571428571429
405,20201013,782.9090909090909
406,20201014,788.6363636363636
407,20201015,788.4545454545455
408,20201016,778.1153846153846
409,20201017,793.5
410,20201018,796.5625
411,20201019,792.769231
412,20201020,787.857143
413,20201021,809.037037
414,20201022,788.047619
415,20201023,801.809524
416,20201024,799.942857
417,20201025,794.0
418,20201026,800.133333
419,20201027,755.083333
420,20201028,798.333333
421,20201029,778.518519
422,20201030,801.851852
423,20201031,808.0
424,20201101,773.9
425,20201102,770.705882
426,20201103,749.666667
427,20201104,747.571429
428,20201105,743.384615
429,20201106,734.736842
430,20201107,696.111111
431,20201108,700.684211
432,20201109,716.880952
433,20201110,739.859155
434,20201111,768.894737
435,20201112,772.0
436,20201113,796.0
