date,value
20200325,873.8461538461538
20200326,878.2352941176471
20200327,891.1111111111111
20200328,892.3076923076923
20200329,861.5
20200330,832.7272727272727
20200331,898.695652173913
20200401,820.3
20200402,810.0
20200403,894.2857142857143
20200404,880.0
20200405,838.8888888888889
20200406,876.4
20200407,870.0
20200408,799.0909090909091
20200409,870.0
20200410,820.0
20200411,855.0
20200412,815.0
20200413,853.9230769230769
20200414,856.0
20200415,859.1666666666666
20200416,851.4285714285714
20200417,808.375
20200418,809.7272727272727
20200419,859.875
20200420,858.2857142857143
20200421,850.8
20200422,851.5714285714286
20200423,867.7777777777778
20200424,869.375
20200425,864.4117647058823
20200426,870.0
20200427,866.25
20200428,862.2222222222222
20200429,854.0
20200430,867.7777777777778
20200501,853.5416666666666
20200502,867.9444444444445
20200503,860.0
20200504,852.0
20200505,845.0
20200506,856.0
20200507,853.75
20200508,857.5
20200509,868.1818181818181
20200510,870.7142857142857
20200511,865.625
20200512,872.8571428571429
20200513,880.952380952381
20200514,882.0909090909091
20200515,879.6
20200516,890.8333333333334
20200517,885.7142857142857
20200518,880.8333333333334
20200519,790.4545454545455
20200520,888.421052631579
20200521,887.5
20200522,897.0
20200523,915.3333333333334
20200524,893.6842105263158
20200525,889.2307692307693
20200526,900.0
20200527,897.1428571428571
20200528,893.3333333333334
20200529,900.0
20200530,897.0370370370371
20200531,892.5
20200601,888.3333333333334
20200602,888.5714285714286
20200603,870.625
20200604,865.0
20200605,879.0
20200606,834.0
20200607,835.0
20200608,771.1111111111111
20200609,876.3636363636364
20200610,883.0769230769231
20200611,896.6666666666666
20200612,885.0
20200613,887.5
20200614,892.0
20200615,881.6666666666666
20200616,879.2142857142857
20200617,879.5454545454545
20200618,872.8888888888889
20200619,879.8571428571429
20200620,874.6666666666666
20200621,874.0
20200622,865.9
20200623,864.8235294117648
20200624,865.0
20200625,880.0
20200626,870.25
20200627,879.1875
20200628,862.0
20200629,858.0
20200630,847.7142857142857
20200701,852.4444444444445
20200702,852.0
20200703,853.6470588235294
20200704,850.1578947368421
20200705,851.75
20200706,855.875
20200707,852.35
20200708,865.0
20200709,875.5454545454545
20200710,878.974358974359
20200711,878.9714285714285
20200712,893.551724137931
20200713,896.48
20200714,886.6666666666666
20200715,889.2307692307693
20200716,886.1538461538462
20200717,894.2857142857143
20200718,887.25
20200719,889.9677419354839
20200720,877.2777777777778
20200721,891.1764705882352
20200722,890.7692307692307
20200723,890.0
20200724,880.7142857142857
20200725,892.8571428571429
20200726,883.8
20200727,870.0
20200728,877.6363636363636
20200729,793.6666666666666
20200730,873.1428571428571
20200731,870.5333333333333
20200801,860.88
20200802,856.0869565217391
20200803,842.5
20200804,846.5714285714286
20200805,876.6666666666666
20200806,846.25
20200807,843.6
20200808,846.5
20200809,842.1333333333333
20200810,858.1818181818181
20200811,861.25
20200812,858.5
20200813,857.4782608695652
20200814,858.8421052631579
20200815,866.3333333333334
20200816,862.25
20200817,858.9473684210526
20200818,848.4285714285714
20200819,849.1034482758621
20200820,856.7647058823529
20200821,861.7058823529412
20200822,864.6666666666666
20200823,851.8571428571429
20200824,843.6
20200825,849.3
20200826,862.1578947368421
20200827,865.6153846153846
20200828,863.625
20200829,882.0
20200830,877.0
20200831,858.8888888888889
